Gene	sgRNA	eff
Fam133b	Fam133b_3	1
Fam133b	Fam133b_4	1
Fam133b	Fam133b_2	1
Fam133b	Fam133b_1	1
Fam133b	Fam133b_5	1
Prss28	Prss28_4	1
Prss28	Prss28_5	1
Prss28	Prss28_1	1
Prss28	Prss28_3	1
Prss28	Prss28_2	1
Bcl2l14	Bcl2l14_3	1
Bcl2l14	Bcl2l14_4	1
Bcl2l14	Bcl2l14_2	1
Bcl2l14	Bcl2l14_5	1
Bcl2l14	Bcl2l14_1	1
Ranbp2	Ranbp2_2	1
Ranbp2	Ranbp2_3	1
Ranbp2	Ranbp2_5	1
Ranbp2	Ranbp2_4	1
Ranbp2	Ranbp2_1	1
Tmem177	Tmem177_1	1
Tmem177	Tmem177_4	1
Tmem177	Tmem177_3	1
Tmem177	Tmem177_2	1
Tmem177	Tmem177_5	1
Il9	Il9_5	1
Il9	Il9_4	1
Il9	Il9_1	1
Il9	Il9_2	1
Il9	Il9_3	1
Snx7	Snx7_3	1
Snx7	Snx7_2	1
Snx7	Snx7_4	1
Snx7	Snx7_1	1
Snx7	Snx7_5	1
Mfsd6	Mfsd6_1	1
Mfsd6	Mfsd6_3	1
Mfsd6	Mfsd6_2	1
Mfsd6	Mfsd6_4	1
Mfsd6	Mfsd6_5	1
Acpp	Acpp_5	1
Acpp	Acpp_1	1
Acpp	Acpp_4	1
Acpp	Acpp_2	1
Acpp	Acpp_3	1
Spaca3	Spaca3_2	1
Spaca3	Spaca3_4	1
Spaca3	Spaca3_1	1
Spaca3	Spaca3_5	1
Spaca3	Spaca3_3	1
Ddo	Ddo_1	1
Ddo	Ddo_2	1
Ddo	Ddo_3	1
Ddo	Ddo_4	1
Ddo	Ddo_5	1
Gimap1	Gimap1_1	1
Gimap1	Gimap1_5	1
Gimap1	Gimap1_4	1
Gimap1	Gimap1_3	1
Gimap1	Gimap1_2	1
Ttc9	Ttc9_1	1
Ttc9	Ttc9_4	1
Ttc9	Ttc9_5	1
Ttc9	Ttc9_2	1
Ttc9	Ttc9_3	1
Dnah7a	Dnah7a_4	1
Dnah7a	Dnah7a_1	1
Dnah7a	Dnah7a_2	1
Dnah7a	Dnah7a_5	1
Dnah7a	Dnah7a_3	1
Pofut1	Pofut1_3	1
Pofut1	Pofut1_5	1
Pofut1	Pofut1_2	1
Pofut1	Pofut1_1	1
Pofut1	Pofut1_4	1
Gpr179	Gpr179_3	1
Gpr179	Gpr179_1	1
Gpr179	Gpr179_2	1
Gpr179	Gpr179_5	1
Gpr179	Gpr179_4	1
Rnpepl1	Rnpepl1_3	1
Rnpepl1	Rnpepl1_4	1
Rnpepl1	Rnpepl1_2	1
Rnpepl1	Rnpepl1_1	1
Rnpepl1	Rnpepl1_5	1
Lrtm2	Lrtm2_3	1
Lrtm2	Lrtm2_4	1
Lrtm2	Lrtm2_5	1
Lrtm2	Lrtm2_1	1
Lrtm2	Lrtm2_2	1
Olfr1195	Olfr1195_2	1
Olfr1195	Olfr1195_1	1
Olfr1195	Olfr1195_4	1
Olfr1195	Olfr1195_3	1
Olfr1195	Olfr1195_5	1
Mroh5	Mroh5_2	1
Mroh5	Mroh5_3	1
Mroh5	Mroh5_5	1
Mroh5	Mroh5_1	1
Mroh5	Mroh5_4	1
Vcl	Vcl_3	1
Vcl	Vcl_4	1
Vcl	Vcl_5	1
Vcl	Vcl_1	1
Vcl	Vcl_2	1
Gnat2	Gnat2_5	1
Gnat2	Gnat2_3	1
Gnat2	Gnat2_4	1
Gnat2	Gnat2_1	1
Gnat2	Gnat2_2	1
Magi3	Magi3_3	1
Magi3	Magi3_2	1
Magi3	Magi3_4	1
Magi3	Magi3_5	1
Magi3	Magi3_1	1
Rab3c	Rab3c_4	1
Rab3c	Rab3c_1	1
Rab3c	Rab3c_5	1
Rab3c	Rab3c_3	1
Rab3c	Rab3c_2	1
Sult4a1	Sult4a1_1	1
Sult4a1	Sult4a1_4	1
Sult4a1	Sult4a1_3	1
Sult4a1	Sult4a1_5	1
Sult4a1	Sult4a1_2	1
Ppp1r3f	Ppp1r3f_3	1
Ppp1r3f	Ppp1r3f_4	1
Ppp1r3f	Ppp1r3f_5	1
Ppp1r3f	Ppp1r3f_1	1
Ppp1r3f	Ppp1r3f_2	1
Tmem194	Tmem194_4	1
Tmem194	Tmem194_1	1
Tmem194	Tmem194_3	1
Tmem194	Tmem194_5	1
Tmem194	Tmem194_2	1
Iars	Iars_1	1
Iars	Iars_5	1
Iars	Iars_2	1
Iars	Iars_3	1
Iars	Iars_4	1
Lyst	Lyst_4	1
Lyst	Lyst_1	1
Lyst	Lyst_5	1
Lyst	Lyst_3	1
Lyst	Lyst_2	1
Cyp26c1	Cyp26c1_3	1
Cyp26c1	Cyp26c1_4	1
Cyp26c1	Cyp26c1_5	1
Cyp26c1	Cyp26c1_1	1
Cyp26c1	Cyp26c1_2	1
Pygo2	Pygo2_2	1
Pygo2	Pygo2_4	1
Pygo2	Pygo2_5	1
Pygo2	Pygo2_3	1
Pygo2	Pygo2_1	1
Gstm6	Gstm6_2	1
Gstm6	Gstm6_1	1
Gstm6	Gstm6_5	1
Gstm6	Gstm6_3	1
Gstm6	Gstm6_4	1
Mdc1	Mdc1_3	1
Mdc1	Mdc1_4	1
Mdc1	Mdc1_2	1
Mdc1	Mdc1_5	1
Mdc1	Mdc1_1	1
Efcab9	Efcab9_3	1
Efcab9	Efcab9_4	1
Efcab9	Efcab9_1	1
Efcab9	Efcab9_2	1
Efcab9	Efcab9_5	1
Fadd	Fadd_2	1
Fadd	Fadd_5	1
Fadd	Fadd_3	1
Fadd	Fadd_1	1
Fadd	Fadd_4	1
Cbr2	Cbr2_4	1
Cbr2	Cbr2_5	1
Cbr2	Cbr2_3	1
Cbr2	Cbr2_1	1
Cbr2	Cbr2_2	1
Prodh2	Prodh2_2	1
Prodh2	Prodh2_1	1
Prodh2	Prodh2_4	1
Prodh2	Prodh2_5	1
Prodh2	Prodh2_3	1
Hnrnpul2	Hnrnpul2_2	1
Hnrnpul2	Hnrnpul2_1	1
Hnrnpul2	Hnrnpul2_3	1
Hnrnpul2	Hnrnpul2_4	1
Hnrnpul2	Hnrnpul2_5	1
Ap2a2	Ap2a2_5	1
Ap2a2	Ap2a2_4	1
Ap2a2	Ap2a2_3	1
Ap2a2	Ap2a2_1	1
Ap2a2	Ap2a2_2	1
Asic3	Asic3_3	1
Asic3	Asic3_5	1
Asic3	Asic3_2	1
Asic3	Asic3_1	1
Asic3	Asic3_4	1
Gm9869	Gm9869_2	1
Gm9869	Gm9869_3	1
Gm9869	Gm9869_1	1
Zfp866	Zfp866_5	1
Zfp866	Zfp866_1	1
Zfp866	Zfp866_2	1
Zfp866	Zfp866_3	1
Zfp866	Zfp866_4	1
Zfp91	Zfp91_5	1
Zfp91	Zfp91_4	1
Zfp91	Zfp91_3	1
