sgRNA	Gene	T0	T12_DMSO_rep1	T12_DMSO_rep2	T12_MYCi_rep1	T12_MYCi_rep2
Tssc1_3	Tssc1	555.5	269	402	155	240
Cdk20_5	Cdk20	1289	1245	1044	1274	979
Alox8_1	Alox8	361	219	402	233	463
Rhoj_3	Rhoj	449.5	372	261	262	199
Asphd1_4	Asphd1	1247.5	1412	1262	1231	1086
Ncoa6_5	Ncoa6	1016	612	279	629	323
Tfcp2l1_2	Tfcp2l1	198.5	103	150	81	134
Eea1_1	Eea1	801.5	488	1592	583	1242
Thada_1	Thada	1234.5	1063	792	1146	852
Krt12_1	Krt12	487.5	208	240	365	182
Gm3443_1	Gm3443	1199.5	1019	851	1033	716
Dcun1d2_5	Dcun1d2	801.5	591	899	596	693
Fxr2_4	Fxr2	669.5	631	575	635	821
Tekt2_1	Tekt2	1233.5	1160	1007	932	1245
Eif2ak4_4	Eif2ak4	753	914	1200	875	1023
Gnpat_5	Gnpat	779.5	758	598	769	782
Gm7325_5	Gm7325	381.5	299	113	238	263
Ttc32_5	Ttc32	1904	1749	1238	1732	1551
Pkdrej_1	Pkdrej	1355	1306	1131	1076	1350
Slc25a33_5	Slc25a33	976	658	583	652	584
Smoc1_2	Smoc1	1014	721	706	957	957
Ptbp2_5	Ptbp2	765	679	671	784	686
Spg7_3	Spg7	1531.5	615	751	616	686
Wfdc10_3	Wfdc10	768.5	874	663	799	574
Tgif1_4	Tgif1	301.5	207	139	220	235
Olfr678_2	Olfr678	524	290	107	480	283
Gm20654_5	Gm20654	573.5	539	388	448	349
Clcn2_3	Clcn2	531	546	452	402	576
Mib1_2	Mib1	275	195	253	190	128
Tmod2_2	Tmod2	489.5	361	187	264	328
2010315B03Rik_5	2010315B03Rik	403.5	299	185	234	144
Ache_3	Ache	627	631	566	554	691
Zswim4_1	Zswim4	319.5	334	920	458	1314
H1fx_5	H1fx	179.5	181	91	134	105
Pfdn6_1	Pfdn6	779.5	771	401	714	526
Olfr1112_2	Olfr1112	791.5	821	350	802	392
Otx2_2	Otx2	1049.5	877	637	1014	726
Nmt2_3	Nmt2	890.5	569	840	662	690
Nphp4_2	Nphp4	1581	945	1009	1201	819
AI846148_2	AI846148	631	450	295	482	391
AI987944_2	AI987944	1015.5	782	698	801	617
Cenpm_4	Cenpm	853.5	103	30	131	75
Rpe_1	Rpe	1116	237	469	209	569
Kcnc2_1	Kcnc2	925.5	812	823	734	707
Oxct2a_1	Oxct2a	673	631	269	713	471
Rras2_4	Rras2	596	347	291	367	418
Dpp8_4	Dpp8	374	337	332	357	305
Tigd3_3	Tigd3	620	360	337	303	250
Atrip_4	Atrip	1308	409	460	468	399
Gm21886_2	Gm21886	639.5	673	636	635	879
Kremen1_1	Kremen1	229.5	207	228	204	187
Vps13c_3	Vps13c	761	505	615	637	641
Dtd2_3	Dtd2	1606.5	918	1260	1315	1550
Slc5a2_4	Slc5a2	1022.5	877	467	857	703
Golga3_5	Golga3	923.5	886	957	970	1171
Gna12_1	Gna12	713.5	215	193	124	231
Dpy19l3_2	Dpy19l3	1450	1325	1701	1468	1747
Qpct_1	Qpct	671.5	499	749	828	571
Kif23_4	Kif23	359	328	58	358	43
Zap70_4	Zap70	772.5	320	475	439	624
Akr1c14_4	Akr1c14	500	550	335	398	333
Vrk2_2	Vrk2	474.5	368	405	401	259
Pdhb_4	Pdhb	386	226	91	124	98
Hspb3_3	Hspb3	1295	1356	1674	1510	1659
Tstd3_3	Tstd3	1010.5	892	1756	956	2638
Kif4_5	Kif4	749.5	650	1511	778	1608
Got2_2	Got2	429	62	189	174	101
Blzf1_1	Blzf1	1193	958	1155	1081	1232
Stambp_4	Stambp	613.5	402	365	442	474
4930524B15Rik_4	4930524B15Rik	1004	888	1494	859	1412
Oas1g_1	Oas1g	651.5	349	1560	375	1757
Tmem97_5	Tmem97	487.5	424	171	505	335
Cdhr4_4	Cdhr4	607.5	638	281	659	312
Grem2_2	Grem2	461.5	244	142	456	339
Dnajc24_4	Dnajc24	816	366	933	522	1199
Nom1_3	Nom1	686	13	24	58	16
Ptx3_3	Ptx3	355	205	441	462	569
Ets1_4	Ets1	487.5	344	240	412	350
Cct8l1_1	Cct8l1	804.5	722	1332	778	1230
Fbxw26_2	Fbxw26	625.5	405	563	464	651
Krtap4-16_1	Krtap4-16	344	319	461	400	265
Ccr8_2	Ccr8	345.5	334	380	285	560
Ubap2_2	Ubap2	165.5	95	42	72	42
Rpl23_4	Rpl23	399.5	20	31	20	61
Ugt3a2_2	Ugt3a2	1184.5	840	960	793	1320
Tmem161a_1	Tmem161a	512.5	289	306	266	450
Rpe_4	Rpe	893	197	181	183	171
Cox7a2l_5	Cox7a2l	435	477	183	482	256
Gpr171_1	Gpr171	887.5	783	875	688	691
Prpf40b_5	Prpf40b	661.5	579	402	491	430
Psen1_2	Psen1	508.5	518	99	478	155
Tial1_4	Tial1	973.5	567	645	651	696
Urah_4	Urah	1603.5	1671	1163	1467	1101
Mark3_1	Mark3	861.5	623	613	681	682
Hsd17b7_2	Hsd17b7	304.5	322	226	348	334
1700020N01Rik_3	1700020N01Rik	604.5	351	143	416	329
Nostrin_1	Nostrin	1848.5	1900	1728	2086	1763
Miip_5	Miip	516	266	145	314	547
Tsr3_1	Tsr3	328	342	229	317	267
Txn1_3	Txn1	846	140	85	109	167
Mst1r_1	Mst1r	179.5	39	55	181	73
Fzd10_3	Fzd10	442	223	553	282	634
Net1_1	Net1	697	580	271	599	157
Rtp2_4	Rtp2	324	240	426	321	380
Zfp819_3	Zfp819	1293.5	1113	741	1241	798
Hscb_2	Hscb	682.5	570	400	616	399
2810408A11Rik_2	2810408A11Rik	828.5	716	941	498	882
Cdc42ep4_4	Cdc42ep4	310	186	328	225	167
Sart1_3	Sart1	472	296	238	284	465
Kdelr1_2	Kdelr1	405	317	232	291	151
Wdr53_5	Wdr53	98.5	102	65	108	121
Serpina6_2	Serpina6	315.5	152	255	306	279
Tmem256_2	Tmem256	676	455	359	638	486
Lima1_3	Lima1	440	311	312	278	255
Il18_5	Il18	833	487	536	468	479
Jak1_5	Jak1	384.5	286	295	384	237
Tmc4_1	Tmc4	1282	977	670	865	737
Irs2_4	Irs2	404.5	181	81	121	98
Bcas3_4	Bcas3	656.5	557	1179	415	875
Hnrnpk_5	Hnrnpk	407	45	39	137	40
Phf5a_2	Phf5a	1047	58	129	86	178
Shtn1_4	Shtn1	965.5	680	1106	587	642
Tfb1m_5	Tfb1m	487.5	35	25	128	27
Zfp606_4	Zfp606	1051	674	674	857	600
Olfr38_1	Olfr38	610	480	307	391	310
Gabra1_2	Gabra1	679	504	321	471	525
Csf3_2	Csf3	968	1001	603	898	710
Topbp1_4	Topbp1	596	30	0	34	0
Slc44a2_4	Slc44a2	577	486	285	495	421
Rnf219_5	Rnf219	402	362	314	287	148
Taf12_5	Taf12	931.5	477	244	354	238
Cgn_4	Cgn	875.5	612	434	878	523
H2-M10.5_5	H2-M10.5	507	456	502	590	739
Unc13a_5	Unc13a	1651	1095	626	1170	720
Adgrl3_2	Adgrl3	330	271	296	364	563
Ano3_1	Ano3	769	400	217	338	250
1190005I06Rik_3	1190005I06Rik	1181	1061	800	1184	948
Fgf5_3	Fgf5	698.5	391	613	388	838
Tsn_5	Tsn	413.5	342	334	468	308
Tmem185b_4	Tmem185b	505	365	258	413	236
Begain_1	Begain	521.5	561	994	427	862
Gjc3_1	Gjc3	762	589	587	437	493
Gm14214_2	Gm14214	1356.5	1383	1276	1257	1199
EGFP_66	EGFP	542	517	743	423	571
Patl2_1	Patl2	1230.5	1127	903	1145	1211
2610528J11Rik_1	2610528J11Rik	506	294	485	342	717
Vmn1r46_1	Vmn1r46	1307	1067	856	1057	887
Trim32_5	Trim32	660	679	654	617	636
Smarca4_1	Smarca4	675	372	221	312	344
Krt71_4	Krt71	512.5	476	462	533	607
Dopey2_3	Dopey2	660	528	729	486	1028
Cpne6_4	Cpne6	668	577	501	522	432
Gls_3	Gls	1165	539	244	553	351
AI464131_3	AI464131	659	683	542	855	1040
Tagln3_1	Tagln3	887	636	851	533	735
Fam216a_3	Fam216a	662.5	586	229	822	161
Actrt3_1	Actrt3	625.5	650	312	567	289
Prmt3_5	Prmt3	662.5	249	252	401	350
Decr1_3	Decr1	449	229	48	232	60
Clybl_1	Clybl	1006.5	832	1183	838	1069
Ginm1_3	Ginm1	386	232	33	297	50
Mroh9_1	Mroh9	325	274	601	252	736
Glrx_3	Glrx	718.5	623	396	591	483
Rnf7_1	Rnf7	1528	1323	818	1272	761
Psma4_3	Psma4	952	106	26	210	80
Zmiz2_5	Zmiz2	860	551	708	495	540
Lrrfip2_3	Lrrfip2	671.5	433	365	374	289
Nfkbia_3	Nfkbia	619	351	278	349	247
Barhl1_2	Barhl1	750	813	788	651	1036
Olfr555_2	Olfr555	2171	1522	1607	1658	2093
Smg5_3	Smg5	1415.5	312	326	370	386
Klc2_4	Klc2	899.5	706	474	760	374
Heca_5	Heca	651	681	502	579	690
Eif4enif1_2	Eif4enif1	177	307	51	307	41
Serpina12_1	Serpina12	459.5	272	237	339	242
Trmt13_2	Trmt13	413	433	335	449	450
Bmp4_1	Bmp4	792.5	754	707	886	666
Zfp322a_5	Zfp322a	455.5	216	322	376	336
M1ap_1	M1ap	265	237	277	243	281
1700057G04Rik_4	1700057G04Rik	804	674	563	795	443
Ccdc116_1	Ccdc116	628.5	502	585	744	629
Fbxo38_3	Fbxo38	766	603	480	715	467
Gtf3c1_2	Gtf3c1	153	71	2	59	5
1700006E09Rik_5	1700006E09Rik	925.5	832	822	1055	618
Pdpr_5	Pdpr	556.5	415	382	504	494
Cst9_2	Cst9	789.5	665	648	769	1230
Nup88_2	Nup88	760.5	266	176	247	213
Cog2_4	Cog2	686	365	210	237	223
Aadac_2	Aadac	985	970	1137	778	930
Vamp1_2	Vamp1	962	890	976	861	1026
Tnfaip8_4	Tnfaip8	948	604	791	679	1028
Ndufaf7_2	Ndufaf7	745	299	127	123	62
Dnmt3b_5	Dnmt3b	951.5	847	937	1051	1486
Skint6_1	Skint6	1044.5	911	1321	1160	1993
Dazl_5	Dazl	960.5	787	846	1048	1007
Srpk2_5	Srpk2	454.5	404	346	403	500
Mlst8_5	Mlst8	986.5	151	176	294	254
Tysnd1_1	Tysnd1	893	588	575	555	872
Actr8_5	Actr8	522	143	89	234	68
Eef2kmt_2	Eef2kmt	705.5	466	143	459	195
Lrrc41_1	Lrrc41	269.5	146	99	218	151
Eral1_1	Eral1	841.5	209	139	277	124
Tmem89_1	Tmem89	1357	1262	1284	1449	1491
Gas7_2	Gas7	643.5	473	640	366	821
