sgRNA	Gene	T0_rep1	T0_rep2	T12_DMSO_rep1	T12_DMSO_rep2	T12_MYCi_rep1	T12_MYCi_rep2
Erich1_1	Erich1	1553.9524753202347	1582.7954172233385	1807.2235423360692	1821.8692797113197	1490.245561699569	1344.912015670005
Tubgcp5_1	Tubgcp5	185.13086948991727	263.6606133787695	119.60374384616365	65.23935086499421	72.44249258261793	178.1340418105967
Fbxl21_1	Fbxl21	520.1685934783073	563.9176525892925	709.9414887015402	455.4673199278299	604.3773666892696	539.9688142383712
Smpd5_1	Smpd5	387.4641649058888	381.7672603812467	409.2862060056793	455.4673199278299	324.95632387060044	450.90179333307293
Snx14_4	Snx14	437.43311640537974	456.623585946197	395.0215393084304	722.4654040234543	425.34092073508526	813.8499035221637
Iqce_4	Iqce	507.0619832489327	576.3937068501175	761.513745222363	254.9167228243292	571.2607986515014	292.80783122616833
Sec11c_2	Sec11c	195.7799903012842	219.57855499052096	145.93851313339235	118.3973404586932	199.73430097778945	167.00066419743442
Thap7_5	Thap7	662.7029797227569	566.4128634414575	741.7626682569415	292.3689427653444	688.2036795348704	303.9412088393306
Kdm4b_2	Kdm4b	1522.005112886134	1373.1977056414776	1743.5811832252664	1130.815414993233	1455.0592081594402	1610.9997406245839
Vip_1	Vip	280.1537936528837	280.2953523932029	298.4607185885919	312.90725692654627	250.444045785622	260.5210361479977
Ffar4_5	Ffar4	272.7813253988604	273.64145678742955	410.38348805931383	258.54113120571776	343.584393391845	209.30749912745114
Tlr5_1	Tlr5	300.6328721362816	287.78098494969794	252.37487233594166	258.54113120571776	221.4670487525748	286.127804658271
Dync1i2_3	Dync1i2	267.04718342350895	276.9684045903162	118.50646179252912	60.40680635647612	188.35048071480662	93.52037195056327
Zfp672_1	Zfp672	319.4736243410077	313.5648304220697	189.8297952787735	328.61302657923005	251.47893853680225	371.8548122796206
Olfr1490_2	Olfr1490	522.6260828963151	513.1816985952706	604.6024115526254	1148.9374569001757	663.3662535065442	1588.7329853982594
Aifm3_1	Aifm3	751.172598771036	776.8423119740401	1006.207643182863	602.8599274376317	808.25123867178	719.2161938102842
Syde1_2	Syde1	158.098485891832	220.41029194124263	196.41348760058068	65.23935086499421	129.36159389753203	139.1672201645287
Ppp1r14a_5	Ppp1r14a	601.2657442725632	642.1009259571294	666.0502065561591	828.7813832108524	728.5644968309003	782.6764462053093
Npff_1	Npff	1074.7420388087232	966.4783367385809	1107.1575921172396	804.6186606682619	979.0085426165223	749.2763133658224
Wbscr28_2	Wbscr28	500.5086781342454	624.6344499919744	520.1116934227667	373.3140632830224	457.4225960216732	260.5210361479977
Slco1b2_2	Slco1b2	58.160582892850115	60.716797402681934	58.15594884263003	54.36612572082851	53.81442306137332	76.82030553081982
Ctnna3_1	Ctnna3	507.88114638826863	454.96011204475366	384.0487187720851	874.6905560417741	418.0966714768235	963.0371635385385
Gtf2ird2_4	Gtf2ird2	39.31983068812402	39.92337363464017	72.42061553987891	167.9309216710036	39.325924544849734	133.60053135794752
Fam81a_2	Fam81a	1386.8431948957077	1280.0431671606507	1332.1004131123182	1733.6753424308645	1553.3740195215644	1818.0805642294026
Ei24_1	Ei24	664.3413060014287	688.678195197543	596.9214371771837	337.06997946913674	766.8555286245698	435.3150646746457
Snrnp70_4	Snrnp70	726.5977045909585	673.7069300845529	486.0959497600963	206.59127773914832	424.30602798390504	214.87418793403228
Nepn_5	Nepn	946.9525890723202	902.4345915330123	1047.904361220975	1505.3376144033848	1155.9752030683462	1114.4510990775457
Mbnl3_4	Mbnl3	426.7839955940128	444.9792686360936	668.2447706634281	740.5874459303972	477.08555829409806	957.4704747319573
Trim12c_1	Trim12c	398.11328571725574	486.56611617217715	481.70682154555817	526.7473514284717	449.1434540122312	513.2487079667818
Prame_1	Prame	1700.5826772613639	1922.1440931177801	1937.800106718578	1768.7112901176208	1808.9925290630877	1769.0937027314885
Ptpn3_4	Ptpn3	410.40073280729445	369.29120612042163	560.7111294072442	555.7426184795803	410.8524222185617	486.52860169519226
Adam12_2	Adam12	388.2833280452247	445.81100558681527	589.2404628017421	774.4152574900238	575.4003696562224	719.2161938102842
Ifitm2_2	Ifitm2	725.7785414516226	859.1842700954854	996.3321047001523	1031.748252568612	973.834078860621	821.6432678513773
Oprd1_5	Oprd1	416.9540379219818	475.7535358127954	340.15743662670394	173.97160230665122	358.0728919083686	131.37385583531508
Ppp1cb_4	Ppp1cb	380.91085979120146	217.08334413835595	43.891282145381155	1.2081361271295223	53.81442306137332	5.566688806581147
Cdc40_5	Cdc40	823.2589550325966	781.0009967276484	544.2518986027263	695.8864092266049	501.9229843224242	729.2362336621303
Unk_3	Unk	313.7394823656563	297.76182835835795	306.14169296403355	223.50518351896164	284.59550657457044	189.267419423759
Ces5a_3	Ces5a	404.66659083194304	490.7248009257855	335.7683084121658	228.33772802747973	337.3750368847635	269.4277382385275
Hsd17b11_4	Hsd17b11	689.7353633208422	610.494921829706	833.934360762242	317.73980143506435	778.2393488875526	565.5755827486446
Scrib_1	Scrib	483.3062522081911	479.9122205664038	693.4822578970222	540.0368488268965	368.4218194201712	676.9093588802675
Cbx8_4	Cbx8	530.8177142896743	496.54695958083715	717.622463076982	715.2165872606772	483.29491480117963	1004.2306607072389
Rpl37_3	Rpl37	245.74894180077513	249.5210852165011	266.63953903319054	543.6612572082851	247.3393675320812	462.0351709462352
Irak1bp1_5	Irak1bp1	359.61261816846763	299.4253022598013	295.16887242768826	222.2970473918321	482.26002204999935	399.68825631252633
Gzmn_3	Gzmn	483.3062522081911	443.3157947346503	460.85846252650214	682.5969118281802	684.0641085301493	654.6426036539428
Skint6_4	Skint6	328.48441887370274	252.0162960686661	339.06015457306944	176.38787456091026	332.20057312886223	156.98062434558835
1700020A23Rik_4	1700020A23Rik	612.734028223266	696.163827754038	622.1589244107779	463.92427281773655	663.3662535065442	710.3094917197544
Olfr1229_4	Olfr1229	689.7353633208422	698.659038606203	1050.0989253282441	1158.602545917212	727.5296040797201	1288.1317898428774
Zkscan4_3	Zkscan4	1295.9160864294208	1314.144382140239	1313.446618200531	1460.6365776995924	1353.639718543775	1105.5443969870157
Aasdhppt_4	Aasdhppt	708.5761155255683	662.8943497251712	251.27759028230713	228.33772802747973	129.36159389753203	246.0476452508867
Map1lc3b_1	Map1lc3b	728.2360308696303	748.5632556495033	832.8370787086075	914.5590482370484	812.390809676501	818.3032545674287
Afap1l1_1	Afap1l1	495.59369929822986	495.7152226301155	464.15030868740575	343.11066010478436	545.388479871995	334.00132839486884
Nkx2-1_4	Nkx2-1	442.34809524139524	429.1762665723819	587.045898694473	606.4843358190202	616.7960797034326	674.682683357635
Mta1_4	Mta1	335.856887127726	310.23788261918304	301.75256474949543	80.94512051767799	311.5027181052571	13.360053135794754
Wfdc2_1	Wfdc2	285.0687724888991	345.1708345494932	317.11451350037885	248.8760421886816	159.37348368175944	155.8672865842721
Zfp772_5	Zfp772	813.4289973605657	824.2513181651752	837.2262069231456	1304.7870172998842	907.6009427850846	869.5167915879751
Map4_4	Map4	999.3790299898188	1082.089772888893	1080.8228228300109	1627.3593632434665	1149.7658465612647	1329.325287011578
Plxnd1_3	Plxnd1	426.7839955940128	533.9751223633124	410.38348805931383	436.1371418937576	414.9919932232827	573.3689470778581
Zfp764_5	Zfp764	662.7029797227569	543.9559657719724	520.1116934227667	287.5363982568263	550.5629436278963	546.6488408062686
Ift52_3	Ift52	203.97162169464337	250.35282216722277	215.06728251236765	488.086995360327	203.87387198251045	423.0683493001672
Tmem55b_5	Tmem55b	530.8177142896743	503.2008551866105	557.4192832463407	227.1295919003502	700.6223925490334	407.48162064173994
Ttc9_2	Ttc9	469.38047883948053	482.40743141856876	493.776924135538	840.8627444821476	452.2481322657719	1023.1574026496148
Picalm_3	Picalm	777.3858192297853	713.6303037191931	853.6854377276635	749.0443988203039	909.6707282874452	800.489850386369
Egfl6_2	Egfl6	394.836633159912	416.7002123115568	459.76118047286764	550.9100739710622	498.8183060688835	369.62813675698817
Upk3bl_5	Upk3bl	405.485753971279	393.41157769135003	478.4149753846546	338.2781155962663	556.7723001349779	360.7214346664583
Slc14a1_1	Slc14a1	1092.7636278741134	1232.6341609695155	960.1217969302128	1392.9809545803394	930.3685833110503	1624.3597937603788
P4htm_3	P4htm	270.32383598085266	264.49235032949116	250.1803082286726	299.61775952812155	334.27035863122273	226.00756554719456
Trappc2l_2	Trappc2l	1116.519358914855	1104.546670558378	1063.2663099718586	871.0661476603856	995.5668266354064	730.3495714234465
Slc12a7_5	Slc12a7	330.9419082917105	311.0696195699047	291.8770262667847	398.6849219527424	313.5725036076176	455.35514437833785
Zfp131_1	Zfp131	1415.5139047724647	1437.2414508470463	199.70533376148427	103.89970693313892	105.55906062038612	41.19349716870049
